document_name,page_number,detection_type
F1963076.json,6,Deux Colonnes
F1963078.json,2,Deux Colonnes
F1963078.json,5,Layouts Imbriqués
F1963078.json,7,Layouts Imbriqués
F1963078.json,9,Ligne Horizontale (3+ layouts)
F1963079.json,1,Deux Colonnes
F1963080.json,1,Deux Colonnes
F1963081.json,2,Deux Colonnes soft
F1963081.json,4,Deux Colonnes soft
F1963082.json,9,Ligne Horizontale (3+ layouts)
F1963082.json,20,Deux Colonnes
F1963083.json,2,Deux Colonnes
F1963083.json,6,Deux Colonnes
F1963083.json,8,Deux Colonnes
F1963084.json,4,Deux Colonnes
F1963084.json,7,Deux Colonnes
F1963084.json,14,Deux Colonnes
F1963085.json,5,Deux Colonnes
F1963086.json,4,Deux Colonnes
F1963086.json,6,Deux Colonnes
F1963086.json,7,Deux Colonnes
F1963086.json,8,Deux Colonnes
F1963086.json,17,Deux Colonnes
F1963086.json,19,Deux Colonnes
F1963086.json,22,Deux Colonnes
F1963086.json,24,Deux Colonnes
F1963086.json,25,Deux Colonnes
F1963087.json,2,Deux Colonnes
F1963087.json,5,Deux Colonnes
F1963087.json,10,Deux Colonnes
F1963087.json,12,Deux Colonnes
F1963087.json,14,Deux Colonnes
F1963087.json,18,Deux Colonnes soft
F1963087.json,19,Deux Colonnes
F1963087.json,23,Deux Colonnes
F1963088.json,2,Deux Colonnes
F1963088.json,3,Deux Colonnes
F1963088.json,4,Deux Colonnes
F1963088.json,5,Deux Colonnes
F1963088.json,6,Deux Colonnes
F1963089.json,7,Deux Colonnes soft
F1963089.json,11,Deux Colonnes
F1963091.json,5,Ligne Horizontale (3+ layouts)
F1963092.json,2,Deux Colonnes soft
F1963092.json,4,Deux Colonnes
F1963092.json,6,Deux Colonnes
F1963092.json,7,Deux Colonnes
F1963092.json,8,Deux Colonnes
F1963092.json,10,Deux Colonnes
F1963092.json,11,Deux Colonnes
F1963092.json,14,Deux Colonnes
F1963093.json,3,Deux Colonnes
F1963093.json,6,Deux Colonnes
F1963094.json,2,Deux Colonnes
F1963094.json,3,Deux Colonnes
F1963094.json,4,Deux Colonnes
F1963094.json,6,Deux Colonnes
F1963095.json,2,Deux Colonnes
F1963097.json,2,Deux Colonnes
F1963097.json,4,Deux Colonnes
F1963097.json,5,Deux Colonnes soft
F1963097.json,6,Deux Colonnes
F1963097.json,7,Deux Colonnes
F1963097.json,8,Deux Colonnes
F1963097.json,9,Deux Colonnes
F1963097.json,10,Deux Colonnes
F1963097.json,11,Deux Colonnes
F1963097.json,14,Deux Colonnes
F1963098.json,2,Deux Colonnes
F1963098.json,3,Deux Colonnes
F1963098.json,4,Deux Colonnes
F1963099.json,28,Deux Colonnes soft
F1963099.json,40,Deux Colonnes soft
F1963099.json,43,Deux Colonnes soft
F1963099.json,44,Deux Colonnes soft
F1963099.json,46,Deux Colonnes soft
F1963099.json,47,Deux Colonnes soft
F1963099.json,48,Deux Colonnes soft
F1964001.json,3,Deux Colonnes
F1964003.json,1,Deux Colonnes
F1964004.json,3,Deux Colonnes
F1964004.json,4,Deux Colonnes
F1964004.json,13,Deux Colonnes
F1964005.json,2,Deux Colonnes
F1964005.json,3,Deux Colonnes soft
F1964005.json,7,Deux Colonnes
F1964006.json,6,Deux Colonnes
F1964006.json,9,Deux Colonnes
F1964006.json,13,Deux Colonnes
F1964007.json,5,Deux Colonnes soft
F1964007.json,6,Deux Colonnes
F1964007.json,7,Deux Colonnes
F1964008.json,1,Deux Colonnes soft
F1964008.json,2,Deux Colonnes
F1964008.json,3,Deux Colonnes
F1964008.json,4,Deux Colonnes
F1964008.json,6,Deux Colonnes
F1964008.json,7,Deux Colonnes
F1964009.json,4,Deux Colonnes
F1964009.json,7,Deux Colonnes
F1964009.json,10,Deux Colonnes
F1964009.json,11,Deux Colonnes
F1964009.json,12,Deux Colonnes
F1964009.json,14,Deux Colonnes
F1964010.json,8,Deux Colonnes soft
F1964010.json,27,Deux Colonnes soft
F1964010.json,56,Deux Colonnes
F1964011.json,2,Deux Colonnes
F1964011.json,3,Deux Colonnes
F1964011.json,4,Deux Colonnes
F1964011.json,7,Deux Colonnes
F1964011.json,12,Deux Colonnes
F1964011.json,14,Deux Colonnes
F1964012.json,2,Deux Colonnes
F1964013.json,12,Deux Colonnes
F1964014.json,4,Deux Colonnes
F1964014.json,5,Deux Colonnes
F1964014.json,6,Deux Colonnes
F1964014.json,11,Deux Colonnes
F1964014.json,13,Deux Colonnes
F1964015.json,5,Deux Colonnes
F1964015.json,6,Deux Colonnes
F1964016.json,3,Deux Colonnes
F1964017.json,8,Deux Colonnes
F1964017.json,9,Deux Colonnes
F1964017.json,10,Deux Colonnes
F1964018.json,3,Deux Colonnes
F1964018.json,4,Deux Colonnes
F1964018.json,5,Deux Colonnes
F1964018.json,6,Deux Colonnes
F1964018.json,7,Deux Colonnes
F1964018.json,9,Deux Colonnes
F1964018.json,14,Deux Colonnes
F1964019.json,2,Deux Colonnes
F1964019.json,4,Deux Colonnes
F1964019.json,6,Deux Colonnes
F1964019.json,10,Deux Colonnes
F1964020.json,5,Deux Colonnes
F1964020.json,7,Deux Colonnes
F1964020.json,8,Deux Colonnes
F1964020.json,9,Deux Colonnes
F1964020.json,10,Deux Colonnes
F1964020.json,11,Deux Colonnes
F1964020.json,13,Deux Colonnes soft
F1964021.json,2,Deux Colonnes
